"Story","Title","Result","Date","Stability","Duration (s)"
"Create and Editing department and sub tier","Account name","SUCCESS","2019-04-30T13:30:26.364-04:00[America/New_York]","0.0","31.38"
"Create and Editing department and sub tier","Create department","SUCCESS","2019-04-30T13:30:57.754-04:00[America/New_York]","0.0","89.01"
"Create and Editing department and sub tier","Edit Department","SUCCESS","2019-04-30T13:32:26.768-04:00[America/New_York]","0.0","68.33"
"Create and Editing department and sub tier","Create Sub Tier","SUCCESS","2019-04-30T13:33:35.105-04:00[America/New_York]","0.0","43.21"
"Create and Editing department and sub tier","Edit Sub Tier","SUCCESS","2019-04-30T13:34:18.319-04:00[America/New_York]","0.0","45.28"
"Create and Editing department and sub tier","Department created browser sign out","SUCCESS","2019-04-30T13:37:46.563-04:00[America/New_York]","0.0","0.16"
